Identifier,Ct,Gene,Efficiancy ,Ben_abs,Ben_rel
265,37.34,LWSr,0.8316551,0.7856,0.9154
265,36.45,LWSr,0.8316551,0.7856,0.9154
266,36.4,LWSr,0.8316551,0.7856,0.9154
266,40,LWSr,0.8316551,0.7856,0.9154
266,40,LWSr,0.8316551,0.7856,0.9154
267,40,LWSr,0.8316551,0.7856,0.9154
267,37.29,LWSr,0.8316551,0.7856,0.9154
365,35.55,LWSr,0.8316551,0.7856,0.9154
365,37.18,LWSr,0.8316551,0.7856,0.9154
365,36.74,LWSr,0.8316551,0.7856,0.9154
366,37.01,LWSr,0.8316551,0.7856,0.9154
366,36.15,LWSr,0.8316551,0.7856,0.9154
367,40,LWSr,0.8316551,0.7856,0.9154
367,40,LWSr,0.8316551,0.7856,0.9154
368,34.76,LWSr,0.8316551,0.7856,0.9154
368,35.33,LWSr,0.8316551,0.7856,0.9154
369,40,LWSr,0.8316551,0.7856,0.9154
369,36.98,LWSr,0.8316551,0.7856,0.9154
370,40,LWSr,0.8316551,0.7856,0.9154
370,40,LWSr,0.8316551,0.7856,0.9154
371,40,LWSr,0.8316551,0.7856,0.9154
371,40,LWSr,0.8316551,0.7856,0.9154
472,40,LWSr,0.8316551,0.7856,0.9154
472,40,LWSr,0.8316551,0.7856,0.9154
474,40,LWSr,0.8316551,0.7856,0.9154
474,40,LWSr,0.8316551,0.7856,0.9154
475,40,LWSr,0.8316551,0.7856,0.9154
475,40,LWSr,0.8316551,0.7856,0.9154
476,38.54,LWSr,0.8316551,0.7856,0.9154
476,36.68,LWSr,0.8316551,0.7856,0.9154
476,40,LWSr,0.8316551,0.7856,0.9154
477,35.57,LWSr,0.8316551,0.7856,0.9154
477,35.22,LWSr,0.8316551,0.7856,0.9154
478,38.15,LWSr,0.8316551,0.7856,0.9154
478,36.12,LWSr,0.8316551,0.7856,0.9154
478,40,LWSr,0.8316551,0.7856,0.9154
479,36.92,LWSr,0.8316551,0.7856,0.9154
479,40,LWSr,0.8316551,0.7856,0.9154
502,40,LWSr,0.8316551,0.7856,0.9154
502,40,LWSr,0.8316551,0.7856,0.9154
503,40,LWSr,0.8316551,0.7856,0.9154
503,40,LWSr,0.8316551,0.7856,0.9154
505,40,LWSr,0.8316551,0.7856,0.9154
505,40,LWSr,0.8316551,0.7856,0.9154
506,36.36,LWSr,0.8316551,0.7856,0.9154
506,40,LWSr,0.8316551,0.7856,0.9154
506,37.4,LWSr,0.8316551,0.7856,0.9154
507,34.66,LWSr,0.8316551,0.7856,0.9154
507,36.77,LWSr,0.8316551,0.7856,0.9154
507,34.83,LWSr,0.8316551,0.7856,0.9154
508,37.13,LWSr,0.8316551,0.7856,0.9154
508,36.8,LWSr,0.8316551,0.7856,0.9154
509,40,LWSr,0.8316551,0.7856,0.9154
509,37.04,LWSr,0.8316551,0.7856,0.9154
509,40,LWSr,0.8316551,0.7856,0.9154
523,40,LWSr,0.8316551,0.7856,0.9154
523,40,LWSr,0.8316551,0.7856,0.9154
524,40,LWSr,0.8316551,0.7856,0.9154
524,40,LWSr,0.8316551,0.7856,0.9154
526,40,LWSr,0.8316551,0.7856,0.9154
526,40,LWSr,0.8316551,0.7856,0.9154
527,35.04,LWSr,0.8316551,0.7856,0.9154
527,37.21,LWSr,0.8316551,0.7856,0.9154
527,35.24,LWSr,0.8316551,0.7856,0.9154
