Fieldsite.ID	Drainage	lambda	H2S	median_sensitivity
MT14-11	Pichucalco	654	0	6.718424702894842e-5
MT14-11	Pichucalco	655	0	6.210669287940292e-5
MT14-11	Pichucalco	656	0	5.741796111710805e-5
MT14-11	Pichucalco	657	0	5.3088141192255875e-5
MT14-11	Pichucalco	658	0	4.9089591156171395e-5
MT14-11	Pichucalco	659	0	4.539677471470619e-5
MT14-11	Pichucalco	660	0	4.1986108375937396e-5
MT14-11	Pichucalco	661	0	3.8835818309869746e-5
MT14-11	Pichucalco	662	0	3.5925806514598784e-5
MT14-11	Pichucalco	663	0	3.323752586790996e-5
MT14-11	Pichucalco	664	0	3.075386363439273e-5
MT14-11	Pichucalco	665	0	2.8424087100688903e-5
MT14-11	Pichucalco	666	0	2.6269123580470813e-5
MT14-11	Pichucalco	667	0	2.4280940166429434e-5
MT14-11	Pichucalco	668	0	2.2446453673272843e-5
MT14-11	Pichucalco	669	0	2.0753610551267197e-5
MT14-11	Pichucalco	670	0	1.919130696140426e-5
MT14-11	Pichucalco	671	0	1.774931477976508e-5
MT14-11	Pichucalco	672	0	1.6418213138836303e-5
MT14-11	Pichucalco	673	0	1.5189325132059269e-5
MT14-11	Pichucalco	674	0	1.4054659326719872e-5
MT14-11	Pichucalco	675	0	1.3006855749188117e-5
MT14-11	Pichucalco	676	0	1.2039136025269952e-5
MT14-11	Pichucalco	677	0	1.1145257376886333e-5
MT14-11	Pichucalco	678	0	1.031947019430788e-5
MT14-11	Pichucalco	679	0	9.556478920646374e-6
MT14-11	Pichucalco	680	0	8.85140600215883e-6
MT14-11	Pichucalco	681	0	8.199758674098209e-6
MT14-11	Pichucalco	682	0	7.597398367306119e-6
MT14-11	Pichucalco	683	0	7.0405125354630916e-6
MT14-11	Pichucalco	684	0	6.5255887168777014e-6
MT14-11	Pichucalco	685	0	6.049390657906117e-6
MT14-11	Pichucalco	686	0	5.608936337550704e-6
MT14-11	Pichucalco	687	0	5.201477744508012e-6
MT14-11	Pichucalco	688	0	4.824482268934501e-6
MT14-11	Pichucalco	689	0	4.475615581501079e-6
MT14-11	Pichucalco	690	0	4.1527258819353914e-6
MT14-11	Pichucalco	691	0	3.853829408233368e-6
MT14-11	Pichucalco	692	0	3.577097106089779e-6
MT14-11	Pichucalco	693	0	3.320842365877949e-6
MT14-11	Pichucalco	694	0	3.083509741735949e-6
MT14-11	Pichucalco	695	0	2.8636645740189602e-6
MT14-11	Pichucalco	696	0	2.6599834425877704e-6
MT14-11	Pichucalco	697	0	2.4712453841486183e-6
MT14-11	Pichucalco	698	0	2.2963238121738738e-6
MT14-11	Pichucalco	699	0	2.1341790828392974e-6
MT14-11	Pichucalco	700	0	1.9838516549437484e-6
MT14-13	Ixtapangajoya	350	1	0.08016391196819872
MT14-13	Ixtapangajoya	351	1	0.08009436626592026
MT14-13	Ixtapangajoya	352	1	0.07997946995336282
MT14-13	Ixtapangajoya	353	1	0.07981910310218905
MT14-13	Ixtapangajoya	354	1	0.07961324549343554
MT14-13	Ixtapangajoya	355	1	0.07936198178115031
MT14-13	Ixtapangajoya	356	1	0.07906550704068127
MT14-13	Ixtapangajoya	357	1	0.0787241328092885
MT14-13	Ixtapangajoya	358	1	0.07833829374429699
MT14-13	Ixtapangajoya	359	1	0.07790855504373081
MT14-13	Ixtapangajoya	360	1	0.07743562079513194
MT14-13	Ixtapangajoya	361	1	0.07692034343808399
MT14-13	Ixtapangajoya	362	1	0.07636373454172268
MT14-13	Ixtapangajoya	363	1	0.07576697710582582
MT14-13	Ixtapangajoya	364	1	0.07513143958711888
MT14-13	Ixtapangajoya	365	1	0.07445869182395493
MT14-13	Ixtapangajoya	366	1	0.07375052297404039
MT14-13	Ixtapangajoya	367	1	0.07300896148214754
