Gene	Identifier	Efficiency	meanCT	CT_stdev	expression	total_cone	percent_cone	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
LWS2	527	0.7751	40	0	1.0742046799842e-10	3.33896237627883e-6	3.217181144704505e-5	MX14-527	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS2	528	0.7751	40	0	1.0742046799842e-10	6.777896592600698e-6	1.584864368035489e-5	MX14-528	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS2	529	0.7751	40	0	1.0742046799842e-10	4.901671353548848e-6	2.1915069422319946e-5	MX14-529	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS2	530	0.7751	39.07	1.315218613006978	1.8317418438774263e-10	1.325026853076731e-6	1.382418657874062e-4	MX14-530	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS2	590	0.7751	40	0	1.0742046799842e-10	1.864458390474698e-7	5.76148379321409e-4	MX14-590	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS2	591	0.7751	40	0	1.0742046799842e-10	3.3206188778693044e-7	3.2349532406244407e-4	MX14-591	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS2	592	0.7751	39.25	1.299038105676658	1.6519776149293427e-10	5.960858038279638e-6	2.7713755374152805e-5	MX14-592	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS2	593	0.7751	36.74666666666667	2.8175402984399938	6.948514383852454e-10	4.657338096703133e-6	1.4919497445914896e-4	MX14-593	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS2	594	0.7751	36.67333333333333	0.8727160668472486	7.247167537368108e-10	3.3723009641404796e-6	2.1490275080519812e-4	MX14-594	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS2	595	0.7751	39.29333333333334	1.2239825706820051	1.611404241406669e-10	1.3880433081374242e-6	1.1609178416550754e-4	MX14-595	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
