site.name	sample.location	light	n.measures	nls.converged	lambda	transmission_ss	transmission
Ban	2	s	3	NA	404	9.15050219474559e-10	1.1824535401948178e-4
Ban	2	s	3	NA	405	1.143820929827531e-8	1.1342974641513483e-4
Ban	2	s	3	NA	406	1.276168135907156e-8	1.1199163665500083e-4
Ban	2	s	3	NA	407	3.7556735538289504e-09	1.148864029571803e-4
Ban	2	s	3	NA	408	5.780529969144962e-9	1.2611344515324471e-4
Ban	2	s	3	NA	409	1.5383017887987585e-9	1.3240941495350184e-4
Ban	2	s	3	NA	410	6.582344288429726e-10	1.3458056742798438e-4
Ban	2	s	3	NA	411	3.356345005327914e-10	1.1673813312649071e-4
Ban	2	s	3	NA	412	2.1017301855650398e-8	1.0336436509789066e-4
Ban	2	s	3	NA	413	1.2297259425153203e-9	9.832209706642209e-5
Ban	2	s	3	NA	414	9.764025430928376e-11	9.98162566198715e-5
Ban	2	s	3	NA	415	3.6785294966136127e-9	1.1536383635223532e-4
Ban	2	s	3	NA	416	1.913685518516352e-9	1.277868367810288e-4
Ban	2	s	3	NA	417	1.7589969288917221e-9	1.2338819972471668e-4
Ban	2	s	3	NA	418	7.823833489097789e-9	9.78271549430885e-5
Ban	2	s	3	NA	419	2.7348308242365475e-9	7.760354440766108e-5
Ban	2	s	3	NA	420	1.5589317085824816e-9	9.329038163550168e-5
Ban	2	s	3	NA	421	3.402464518492676e-9	8.340311666203417e-5
Ban	2	s	3	NA	422	5.688220046516861e-11	6.901169735893458e-5
Ban	2	s	3	NA	423	4.112941984487643e-9	7.135222725419162e-5
Ban	2	s	3	NA	424	8.039849365634838e-10	7.89311697410661e-5
Ban	2	s	3	NA	425	7.783574394867932e-9	7.752956971108473e-5
Ban	2	s	3	NA	426	4.863556516967178e-9	7.725654749950046e-5
Ban	2	s	3	NA	427	4.825325536407898e-9	8.379016006090412e-5
Ban	2	s	3	NA	428	1.1037754402924794e-8	9.134233698943884e-5
Ban	2	s	3	NA	429	1.3428625699074248e-8	7.125701084042006e-5
Ban	2	s	3	NA	430	4.303071989607426e-9	6.595195832883935e-5
Ban	2	s	3	NA	431	1.0898875429334699e-8	8.137424229386344e-5
Ban	2	s	3	NA	432	2.0553247573807797e-9	8.315523325222218e-5
Ban	2	s	3	NA	433	2.6750694205161626e-9	8.809185843480326e-5
Ban	2	s	3	NA	434	1.5359512661309644e-9	8.575471846555023e-5
Ban	2	s	3	NA	435	1.7188055236777553e-9	8.412878177871512e-5
Ban	2	s	3	NA	436	1.7415049085767148e-9	9.572488382657927e-5
Ban	2	s	3	NA	437	1.709859925388459e-8	9.810339469963519e-5
Ban	2	s	3	NA	438	8.736621893675846e-9	8.852149791537445e-5
Ban	2	s	3	NA	439	1.4716857179187026e-9	7.856258756870988e-5
